visits,ctr,time_on_page,scroll_depth,add_to_cart_rate,conversion_rate,title_quality,description_length,keyword_score,rating,reviews,cluster_id,cluster_label
15895.0,0.0361,59.27,15.42,0.0524,0.0144,3.74,64.0,3.27,3.42,25.0,3,Low Engagement Product
960.0,0.0995,209.37,47.04,0.0929,0.0512,2.38,363.0,3.86,4.14,136.0,3,Low Engagement Product
38258.0,0.0441,427.99,74.41,0.0542,0.0208,2.2,776.0,1.99,2.03,29.0,0,Invisible Product
44832.0,0.0594,454.45,77.33,0.0693,0.0464,6.09,815.0,3.35,3.84,75.0,2,Attract but Don't Convert
11384.0,0.1368,236.44,46.27,0.1201,0.0824,9.93,394.0,9.14,4.96,971.0,1,High Performer
6365.0,0.0299,339.27,62.53,0.0774,0.0458,1.0,638.0,2.59,3.75,378.0,2,Attract but Don't Convert
16950.0,0.0719,80.61,10.61,0.0652,0.0238,2.14,46.0,2.93,2.94,18.0,3,Low Engagement Product
37294.0,0.0587,152.73,26.29,0.0583,0.0236,2.71,212.0,2.57,3.3,38.0,3,Low Engagement Product
22062.0,0.1163,452.69,91.8,0.113,0.0758,4.21,949.0,8.97,4.07,280.0,2,Attract but Don't Convert
47291.0,0.0697,479.26,83.06,0.0524,0.0245,4.65,868.0,5.45,3.22,470.0,2,Attract but Don't Convert
44231.0,0.0303,200.29,35.84,0.0388,0.0079,2.93,376.0,2.61,1.51,25.0,0,Invisible Product
16123.0,0.0629,35.41,18.02,0.0528,0.0176,2.96,81.0,3.72,3.17,31.0,3,Low Engagement Product
41190.0,0.1019,75.54,11.61,0.0893,0.0455,7.14,81.0,2.88,4.02,43.0,3,Low Engagement Product
1785.0,0.0505,296.97,45.78,0.0733,0.0319,3.98,441.0,3.13,2.77,41.0,0,Invisible Product
869.0,0.0834,435.44,80.14,0.0901,0.0578,6.31,813.0,6.63,4.38,483.0,2,Attract but Don't Convert
2533.0,0.1245,350.22,59.17,0.0366,0.0233,9.78,652.0,9.58,4.28,971.0,1,High Performer
5411.0,0.0992,437.43,74.41,0.0675,0.0542,7.89,811.0,9.8,4.22,971.0,1,High Performer
37919.0,0.0151,362.81,50.93,0.0072,0.0001,1.21,570.0,1.99,2.44,27.0,0,Invisible Product
39288.0,0.1262,224.14,44.97,0.0992,0.0747,8.92,399.0,8.58,4.26,971.0,1,High Performer
17668.0,0.0522,197.67,34.41,0.0856,0.0429,6.02,296.0,1.0,4.02,207.0,3,Low Engagement Product
19869.0,0.0559,334.54,56.8,0.059,0.0282,2.63,625.0,3.38,3.02,8.0,0,Invisible Product
28793.0,0.1221,243.39,48.1,0.0853,0.0658,7.58,450.0,9.95,4.28,971.0,1,High Performer
6496.0,0.0821,125.24,20.6,0.0382,0.0171,2.31,134.0,3.85,1.28,47.0,0,Invisible Product
27580.0,0.0144,361.45,69.07,0.0057,0.0017,2.15,707.0,2.81,1.66,30.0,0,Invisible Product
41534.0,0.054,114.93,16.58,0.0511,0.0156,2.35,140.0,3.03,1.33,14.0,0,Invisible Product
25758.0,0.1011,295.16,51.9,0.073,0.041,7.62,544.0,9.11,3.07,478.0,1,High Performer
19042.0,0.0548,473.86,84.13,0.0618,0.0363,3.09,918.0,6.48,3.76,53.0,2,Attract but Don't Convert
18531.0,0.0338,239.14,48.24,0.0598,0.0252,1.55,435.0,2.2,3.24,31.0,0,Invisible Product
2847.0,0.0786,75.97,19.68,0.087,0.0496,5.74,182.0,1.96,4.09,262.0,3,Low Engagement Product
289.0,0.0758,412.0,75.05,0.0413,0.0207,5.21,806.0,5.64,3.06,170.0,2,Attract but Don't Convert
19218.0,0.0317,497.18,89.28,0.0415,0.0129,1.21,929.0,2.79,1.25,12.0,0,Invisible Product
35873.0,0.1195,378.55,66.87,0.1141,0.0698,7.3,707.0,5.27,4.14,344.0,2,Attract but Don't Convert
1999.0,0.0133,189.08,36.89,0.0727,0.0403,3.89,356.0,1.14,3.45,21.0,3,Low Engagement Product
1367.0,0.1052,258.63,39.15,0.0978,0.0514,6.61,398.0,5.37,3.42,364.0,3,Low Engagement Product
31651.0,0.1235,181.63,34.83,0.1466,0.106,8.98,343.0,9.33,4.06,971.0,1,High Performer
11494.0,0.1208,154.74,26.48,0.0653,0.0527,7.64,192.0,7.82,4.54,971.0,1,High Performer
3656.0,0.127,435.94,64.55,0.0941,0.0556,7.6,806.0,7.89,4.02,971.0,1,High Performer
3990.0,0.075,66.23,13.9,0.0583,0.0314,4.84,83.0,8.3,3.88,357.0,3,Low Engagement Product
41706.0,0.0109,91.87,21.69,0.0578,0.0207,1.33,120.0,2.11,1.27,39.0,0,Invisible Product
30840.0,0.1448,206.37,41.01,0.1143,0.0839,8.11,341.0,9.42,4.75,971.0,1,High Performer
14602.0,0.0234,507.89,84.84,0.0774,0.0473,1.67,994.0,2.14,4.45,371.0,2,Attract but Don't Convert
21877.0,0.0367,53.93,13.66,0.0516,0.0248,3.4,85.0,3.39,2.65,10.0,3,Low Engagement Product
10727.0,0.099,456.99,79.33,0.1265,0.0837,8.25,862.0,4.43,4.49,399.0,2,Attract but Don't Convert
8892.0,0.0898,326.74,59.19,0.0971,0.0608,7.55,576.0,7.3,3.95,494.0,1,High Performer
43423.0,0.0114,352.27,57.59,0.0657,0.0342,2.7,618.0,1.98,2.65,32.0,0,Invisible Product
43121.0,0.0625,293.41,47.53,0.1108,0.056,9.01,477.0,5.68,3.74,127.0,3,Low Engagement Product
8533.0,0.2274875,304.43,59.53,0.0171,0.0044,2.23,598.0,1.95,2.95,23.0,4,Trust Issue Product
43101.0,0.2274875,273.13,41.99,0.0374,0.0155,2.75,472.0,3.81,3.41,39.0,4,Trust Issue Product
11116.0,0.0425,168.74,40.37,0.0383,0.008,1.85,278.0,2.38,1.83,43.0,0,Invisible Product
23997.0,0.0732,495.84,86.65,0.0246,0.0091,2.97,953.0,3.53,3.12,5.0,0,Invisible Product
2712.0,0.0752,438.07,67.13,0.0749,0.044,7.28,736.0,3.39,3.27,305.0,2,Attract but Don't Convert
23583.0,0.0256,261.14,51.3,0.0582,0.0184,1.76,445.0,1.84,3.45,15.0,0,Invisible Product
48655.0,0.0436,557.58,90.48,0.0416,0.0092,3.66,998.0,1.24,1.08,29.0,0,Invisible Product
17259.0,0.0468,440.23,85.53,0.0355,0.0195,5.28,955.0,2.48,3.31,271.0,2,Attract but Don't Convert
45074.0,0.0607,149.44,27.62,0.0955,0.0507,6.27,197.0,5.7,3.64,84.0,3,Low Engagement Product
41094.0,0.025,515.72,86.21,0.058,0.0229,2.82,950.0,3.58,2.59,29.0,2,Attract but Don't Convert
14641.0,0.0637,193.54,30.84,0.0945,0.0424,4.41,299.0,4.19,4.05,23.0,3,Low Engagement Product
36020.0,0.056,205.64,44.38,0.0502,0.0246,3.77,363.0,1.04,1.61,13.0,0,Invisible Product
26631.0,0.1724,90.21,10.0,0.0997,0.0607,9.28,36.0,9.52,4.15,478.0,1,High Performer
1685.0,0.0515,183.56,33.17,0.0652,0.0441,4.69,315.0,2.94,3.33,388.0,3,Low Engagement Product
4043.0,0.1225,140.13,36.95,0.1303,0.0977,8.11,221.0,7.77,4.77,971.0,1,High Performer
24039.0,0.0635,500.93,89.01,0.0943,0.06,2.48,981.0,1.0,3.8,477.0,2,Attract but Don't Convert
19557.0,0.0982,380.71,58.31,0.1013,0.0415,6.78,703.0,4.93,3.89,14.0,2,Attract but Don't Convert
1121.0,0.0644,495.51,90.69,0.0916,0.0553,3.54,938.0,4.68,4.34,310.0,2,Attract but Don't Convert
11753.0,0.1176,447.94,72.02,0.1002,0.057,7.89,793.0,7.23,4.31,196.0,2,Attract but Don't Convert
43673.0,0.0537,149.19,21.74,0.0615,0.0265,2.7,213.0,2.9,2.82,6.0,3,Low Engagement Product
13517.0,0.0771,137.47,28.71,0.0573,0.0424,10.0,168.0,3.53,4.23,210.0,3,Low Engagement Product
40857.0,0.2274875,224.84,47.01,0.0164,0.0061,4.0,394.0,2.54,2.68,2.0,4,Trust Issue Product
9792.0,0.0992,476.71,89.7,0.083,0.0452,5.67,907.0,6.39,3.77,487.0,2,Attract but Don't Convert
45858.0,0.058,74.68,10.0,0.0302,0.0199,3.84,54.0,1.0,3.1,499.0,3,Low Engagement Product
6973.0,0.1366,227.16,40.34,0.0995,0.0803,8.65,388.0,8.24,4.4,971.0,1,High Performer
5775.0,0.1265,10.0,12.38,0.0648,0.0205,5.88,48.0,8.27,3.5,308.0,3,Low Engagement Product
261.0,0.0976,417.95,68.86,0.0869,0.0471,9.1,794.0,6.37,3.93,495.0,2,Attract but Don't Convert
37165.0,0.0206,106.28,32.06,0.0846,0.0492,1.67,240.0,2.66,3.96,446.0,3,Low Engagement Product
